Trip Id,Destination,Country,Start_Date,End_Date,Duration_Days,Traveler_Name,Gender,Nationality,Amount_Spent,People_Visited,Annual_Visitors,Trip_Budget,Destination_Economy,Transportation,Travel_Type,Annual_Tourism_Income
131,Bangkok,Thailand,02-01-2024,24-01-2024,22,David Wood,Male,Netherlands,1335,4,5169909,2764,Medium,Air,Group,28843595717
132,Paris,France,30-10-2024,03-11-2024,4,Michelle Strickland,Female,Central African Republic,8371,1,1730611,8951,High,Train,Couple,27439114547
133,Sydney,Australia,14-03-2024,28-03-2024,14,Alexander Collins,Other,Philippines,9150,4,9953935,10770,High,Train,Couple,29339201955
134,New York,USA,21-06-2025,20-07-2025,29,Jennifer Espinoza,Female,Belarus,6986,3,648888,8499,Medium,Train,Couple,25136471294
135,Sydney,Australia,18-10-2024,28-10-2024,10,Lori Garcia,Female,Sierra Leone,1927,3,9234621,3873,High,Car,Solo,29339201955
136,Rome,Italy,07-03-2024,18-03-2024,11,Lindsay Martinez,Male,Monaco,2301,4,1638024,3758,Low,Cruise,Solo,26664516195
137,Paris,France,15-03-2025,12-04-2025,28,Joseph Stanley,Female,Bangladesh,4290,2,9572046,4810,Low,Cruise,Group,27439114547
138,Barcelona,Spain,12-08-2024,21-08-2024,9,Alexandria Fisher,Male,Liechtenstein,5683,2,147572,6350,Low,Train,Business,25858011842
139,London,UK,06-10-2023,03-11-2023,28,Jack Snow,Male,Kuwait,2101,1,2311291,2231,Medium,Train,Business,27521149477
140,Bangkok,Thailand,16-01-2025,19-01-2025,3,Christopher Boyd,Male,Pakistan,4647,1,2226655,6266,Medium,Cruise,Solo,28843595717
141,New York,USA,11-02-2024,29-02-2024,18,Tamara Hampton,Female,Lao People's Democratic Republic,6231,5,1929622,7256,High,Train,Business,25136471294
142,Paris,France,19-06-2024,15-07-2024,26,Leslie Morris,Other,Ecuador,8843,3,7784678,10260,Low,Air,Couple,27439114547
143,Rome,Italy,22-04-2025,08-05-2025,16,Diana Hayes,Other,Sao Tome and Principe,2068,4,7541741,2318,Low,Car,Business,26664516195
144,Tokyo,Japan,11-07-2024,16-07-2024,5,Mary Rogers,Male,Lithuania,4805,5,9920789,6028,High,Car,Couple,25514217912
145,Barcelona,Spain,07-05-2025,26-05-2025,19,John Kelly,Female,Eritrea,7733,5,7317547,8036,High,Air,Business,25858011842
146,Dubai,UAE,06-04-2024,22-04-2024,16,Kyle Beard,Female,Micronesia,4043,4,5786328,5837,Medium,Bus,Couple,26336822876
147,New York,USA,24-07-2023,06-08-2023,13,Cheryl Allen,Female,Ireland,5420,3,6379729,5832,High,Bus,Solo,25136471294
148,New York,USA,30-07-2024,28-08-2024,29,Cynthia Alvarez,Male,Rwanda,1827,4,1720082,3451,High,Car,Group,25136471294
149,Cape Town,South Africa,01-08-2024,05-08-2024,4,Alan Phillips,Other,Iraq,9501,5,5630541,10973,Low,Bus,Family,28898545230
150,Rome,Italy,04-01-2025,03-02-2025,30,Matthew Wood,Other,Mexico,1142,3,5342022,1962,Low,Cruise,Business,26664516195
151,Dubai,UAE,01-09-2024,08-09-2024,7,Zachary Pierce,Other,Guinea,8200,2,1915603,9017,High,Car,Solo,26336822876
152,London,UK,12-01-2025,02-02-2025,21,Eric Hall,Male,Saint Helena,7330,5,9440543,7483,High,Car,Solo,27521149477
153,Tokyo,Japan,13-12-2023,24-12-2023,11,Patrick Tapia,Other,Portugal,5362,3,5989195,5474,Low,Train,Business,25514217912
154,Rome,Italy,07-12-2023,12-12-2023,5,Parker Hill,Male,Myanmar,802,1,9000022,1342,Medium,Bus,Couple,26664516195
155,Bangkok,Thailand,26-02-2025,06-03-2025,8,Diane Garcia,Female,Congo,5405,3,9622639,6726,Low,Air,Group,28843595717
156,Tokyo,Japan,03-03-2024,30-03-2024,27,Christopher Smith,Other,Marshall Islands,1115,1,4665128,2122,High,Bus,Couple,25514217912
157,Barcelona,Spain,23-10-2023,09-11-2023,17,William Tran,Female,Qatar,4775,2,8695744,5108,Medium,Bus,Solo,25858011842
158,London,UK,23-10-2023,16-11-2023,24,Nicole Garcia,Other,American Samoa,8272,5,5274418,8465,Low,Bus,Business,27521149477
159,Paris,France,04-10-2024,07-10-2024,3,John Peterson,Male,Austria,5238,2,2402417,6903,Medium,Car,Family,27439114547
160,New York,USA,29-01-2024,01-02-2024,3,Karen Short,Female,Iran,7355,2,2267376,8233,High,Train,Business,25136471294
161,Cape Town,South Africa,01-08-2024,30-08-2024,29,Mark Brown,Other,Canada,6102,1,6761748,7966,High,Air,Couple,28898545230
162,Paris,France,07-04-2025,24-04-2025,17,Elizabeth Mcknight,Male,British Indian Ocean Territory (Chagos Archipelago),5429,5,7302195,6703,Medium,Bus,Family,27439114547
163,New York,USA,22-09-2024,07-10-2024,15,Lisa Gibbs,Male,Czech Republic,5621,2,7819145,7424,High,Car,Solo,25136471294
164,Rome,Italy,10-03-2025,09-04-2025,30,Joanna Ramos,Male,Tokelau,4286,4,9979620,5206,High,Air,Couple,26664516195
165,London,UK,16-10-2024,11-11-2024,26,Elizabeth Oliver DDS,Female,Saint Vincent and the Grenadines,3930,3,2920798,4186,High,Air,Business,27521149477
166,Cape Town,South Africa,02-10-2023,11-10-2023,9,Christine Clark,Female,Panama,6052,2,4063933,6362,Low,Car,Group,28898545230
167,Tokyo,Japan,18-09-2023,10-10-2023,22,Christopher Jones,Male,Afghanistan,1534,2,8389908,2584,High,Cruise,Couple,25514217912
168,Barcelona,Spain,29-05-2024,21-06-2024,23,Kirk Carter,Other,Djibouti,5595,3,2632644,6595,Low,Bus,Couple,25858011842
169,London,UK,25-02-2024,24-03-2024,28,Michele Gibson,Female,Poland,9989,1,6004610,11128,Low,Car,Couple,27521149477
170,Sydney,Australia,14-01-2024,18-01-2024,4,Rachel Weber,Male,Panama,6341,3,1387332,7761,Low,Cruise,Business,29339201955
171,Cape Town,South Africa,01-04-2025,16-04-2025,15,Jessica Stephens,Female,Oman,9808,5,788246,10829,High,Train,Family,28898545230
172,Barcelona,Spain,09-11-2023,27-11-2023,18,Samantha Jones,Other,Chad,2771,1,7658523,3082,Medium,Air,Business,25858011842
173,Tokyo,Japan,23-03-2025,27-03-2025,4,Paul Carroll,Male,France,7472,4,8892411,8642,High,Train,Family,25514217912
174,Bangkok,Thailand,22-06-2024,04-07-2024,12,Michael Lyons,Female,Western Sahara,6997,3,978547,8713,High,Car,Solo,28843595717
175,Bangkok,Thailand,13-02-2024,19-02-2024,6,Katherine Miller,Other,Armenia,6633,3,4327787,8215,High,Cruise,Group,28843595717
176,Bangkok,Thailand,06-06-2025,11-06-2025,5,Frank Wright,Other,Bermuda,2617,3,5304824,4060,High,Bus,Group,28843595717
177,Barcelona,Spain,10-01-2024,04-02-2024,25,Sara Johnston,Male,Zambia,5372,5,6419630,6789,Medium,Train,Business,25858011842
178,New York,USA,02-08-2023,25-08-2023,23,Miss Debra Williams PhD,Other,Latvia,7237,5,6170468,7374,Medium,Car,Group,25136471294
179,Dubai,UAE,23-08-2024,05-09-2024,13,Sydney White,Female,Mozambique,3445,2,2407963,3862,Low,Car,Solo,26336822876
180,Cape Town,South Africa,19-06-2024,16-07-2024,27,Katherine Davis,Other,Guernsey,8926,1,5749968,10820,High,Train,Business,28898545230
181,Rome,Italy,29-05-2024,05-06-2024,7,Michael Hodge,Male,Greenland,3262,5,2877286,4838,Medium,Air,Couple,26664516195
182,Bangkok,Thailand,31-05-2024,24-06-2024,24,Donna Landry,Other,Suriname,4191,4,4880297,5831,High,Bus,Group,28843595717
183,Cape Town,South Africa,26-02-2025,08-03-2025,10,Jordan Edwards,Female,Gibraltar,7984,2,6271347,9473,High,Bus,Couple,28898545230
184,London,UK,15-10-2023,11-11-2023,27,Jennifer Robertson,Female,Afghanistan,8539,5,7123963,8970,Low,Cruise,Group,27521149477
185,London,UK,08-12-2024,12-12-2024,4,Julia Brown,Other,Malaysia,8173,3,9403649,8483,High,Cruise,Solo,27521149477
186,London,UK,23-04-2024,28-04-2024,5,Kathleen Ramos,Male,Austria,4769,4,8712629,5170,Medium,Air,Group,27521149477
187,Sydney,Australia,22-12-2023,05-01-2024,14,Carlos Roberts,Male,Turkmenistan,7097,1,6751393,8225,Medium,Train,Couple,29339201955
188,New York,USA,09-01-2025,23-01-2025,14,Mr. Mark Lloyd,Male,Russian Federation,761,3,1762338,2579,High,Car,Group,25136471294
189,Tokyo,Japan,17-11-2023,21-11-2023,4,Adam Russell,Female,Czech Republic,8040,2,7970361,9058,High,Air,Solo,25514217912
190,Paris,France,30-04-2025,11-05-2025,11,Julia Wilson,Male,Syrian Arab Republic,2749,5,8954536,3715,Low,Car,Group,27439114547
191,London,UK,13-11-2023,19-11-2023,6,Dr. Jordan Hill PhD,Male,Latvia,4206,4,7769093,4434,Low,Bus,Business,27521149477
192,Cape Town,South Africa,22-01-2024,25-01-2024,3,Charles Lee,Other,Nepal,8743,5,4159048,10314,Low,Car,Couple,28898545230
193,Paris,France,14-08-2024,05-09-2024,22,Breanna Jones,Female,Sierra Leone,4241,5,7088844,4724,High,Air,Business,27439114547
194,Bangkok,Thailand,21-03-2025,26-03-2025,5,Gina French,Other,Ethiopia,9214,5,8616493,10448,Low,Bus,Couple,28843595717
